pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-11-004,SHA-11-004,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 14.5 by 20.7,1966,"Ethiopia, Addis Ababa",crowd of fans of Sharhabil Ahmed and Harambe,,yes,no,no
SHA-11-005,SHA-11-005,en,,Sharhabil Ahmed,Sharhabil Ahmed,Jurg Kobler,photograph 15.2 by 21,1966,"Khartoum, National Theater",Harambe band performance,,yes,no,no
SHA-11-006,SHA-11-006,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 15.3 by 20.3,1966,"Kenya, Nairobi",Harambe band performance,,yes,no,no
SHA-11-007,SHA-11-007,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 11.7 by 16.1,1966,"Kenya, Nairobi",Harambe band performance,,yes,no,no
SHA-11-008,SHA-11-008,en,,Sharhabil Ahmed,Sharhabil Ahmed,Sudanese Minsitry of Information,photograph 10.6 by 15.2,1966,Khartoum,Harambe received by Za'im al Azhari,,yes,no,no
SHA-11-009,SHA-11-009,en,,Sharhabil Ahmed,Sharhabil Ahmed,Jurg Kobler,photograph 10.8 by 14.9,1966,"Ethiopia, Addis Ababa",Haile Selassie in crowd,,yes,no,no
SHA-11-010,SHA-11-010,en,,Sharhabil Ahmed,Sharhabil Ahmed,Jurg Kobler,photograph 12.1 by 16.2,1966,"Ethiopia, Addis Ababa",Harambe band performance,,yes,no,no
SHA-11-011,SHA-11-011,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12 by 16,1966,"Ethiopia, Addis Ababa",Harambe band performance,,yes,no,no
SHA-11-012,SHA-11-012,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 15.9 by 20.3,1966,"Ethiopia, Addis Ababa",Harambe band performance,,yes,no,no
SHA-11-013,SHA-11-013,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 15.5 by 20.6,1966,"Kenya, Nairobi",Sudanese Ambassador Sayed Mirghani and Kenyan government officials welcoming Harambe ,,yes,no,no
SHA-11-014,SHA-11-014,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 15.7 by 20.6,1966,"Ethiopia, Addis Ababa",Haile Selassie with Harambe band members Lucy Muro and Magdalene Anyango,,yes,no,no
SHA-11-015,SHA-11-015,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 15.7 by 20.6,1966,"Ethiopia, Addis Ababa",Reception of Harambe band at airport with lion,,yes,no,no
SHA-11-016,SHA-11-016,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 15.4 by 20.4,1966,Khartoum,Reception of Harambe band with Sadiq al Mahdi,,yes,no,no
SHA-11-017,SHA-11-017,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 14.7,1966,"Ethiopia, Addis Ababa",Reception of Harambe band at airport with lion,,yes,no,no
SHA-11-018,SHA-11-018,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.3 by 16.5,1966,Khartoum,Reception of Harambe with Za'im al Azhari,,yes,no,no
SHA-11-019,SHA-11-019,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 11.6 by 17.7,1966,"Ethiopia, Addis Ababa",Carriage of Haile Selassie,,yes,no,no
SHA-11-020,SHA-11-020,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 11.6 by 16.4,1966,"Ethiopia, Addis Ababa",Harambe band performance,,yes,no,no
SHA-11-021,SHA-11-021,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 11.4 by 18.1,1966,"Ethiopia, Addis Ababa",Group of soldiers,,yes,no,no
SHA-11-022,SHA-11-022,en,,Sharhabil Ahmed,Sharhabil Ahmed,Jurg Kobler,photograph 15.8 by 20.7,1966,"Ethiopia, Addis Ababa",Commander of Ethiopian Airforce Colonel Aberra Mariam and memberr of Harambe,,yes,no,no
SHA-11-023,SHA-11-023,en,,Sharhabil Ahmed,Sharhabil Ahmed,Sudanese Ministry of Information,photograph 14.6 by 19.8,1966,"Ethiopia, Addis Ababa",Harambe band performance,,yes,no,no
SHA-11-024,SHA-11-024,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 16.6 by 22.4,18/3/1966,"Ethiopia, Bashuftu Military Airport",Reception of Harambe band at airport,,yes,no,no
SHA-12-001,SHA-12-001,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.9 by 12.8,1988,"Khartoum, Friendship Hall",Sharhabil Ahmed and Harry Balafonte performing,,yes,no,no
SHA-12-002,SHA-12-002,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9.4 by 13.3,1960s,Khartoum,Sharhabil Ahmed and his band including Zakia Abu Gasim,,yes,no,no
SHA-12-003,SHA-12-003,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with a guitar,,yes,no,no
SHA-12-004,SHA-12-004,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with a guitar,,yes,no,no
SHA-12-005,SHA-12-005,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with a guitar,,yes,no,no
SHA-12-006,SHA-12-006,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed with a guitar,,yes,no,no
SHA-12-007,SHA-12-007,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9.9 by 15.1,1988,"Emirates, al 'Ain",Sharhabil Ahmed and two others in a bus,,yes,no,no
SHA-12-008,SHA-12-008,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.7 by 12.6,1984,Libya,Sharhabil Ahmed and Jaylan al Wathiq ,,yes,no,no
SHA-12-009,SHA-12-009,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.6 by 13.8,1957-1958,"Egypt, Manufiya, Sirs al Layan",Sharhabil Ahmed and Kamil Hussain,,yes,no,no
SHA-12-010,SHA-12-010,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.7 by 12.6,1984,Libya,Crowd at Sharhabil Ahmed concert,,yes,no,no
SHA-12-011,SHA-12-011,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.7 by 12.6,1984,Libya,Sharhabil Ahmed and band with another person,,yes,no,no
SHA-12-012,SHA-12-012,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.7 by 12.6,1984,Libya,Sharhabil Ahmed's band and another person,,yes,no,no
SHA-13-001,SHA-13-001,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 7.9 by 11.1,1965,Tunisia,Sharhabil Ahmed Kamil Hussain and Hassan Saroji dancing a traditional dance ,,yes,yes,yes
SHA-14-001,SHA-14-001,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.5 by 16,1963,Khartoum,Hassan Saroji and Sharhabil Ahmed,,yes,no,no
SHA-14-002,SHA-14-002,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.9 by 13.9,1965,Tunisia,Hassan Saroji,,yes,no,no
SHA-14-003,SHA-14-003,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 14,1965,Khartoum,"Sharhabil Ahmed, his band, 'Ali Shomo, and the Sayed Taj Muhammad director of radio in airport",,yes,no,no
SHA-14-004,SHA-14-004,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 7.2 by 10.4,1965,Tunisia,Sharhabil Ahmed and his band,,yes,no,no
SHA-14-005,SHA-14-005,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.2 by 10,1965,Tunisia,Sharhabil Ahmed Hassan Saroji and some others,,yes,no,no
SHA-14-006,SHA-14-006,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 7.3 by 10.4,1965,Tunisia,Sharhabil Ahmed his band and some others from al Marjan festival,,yes,no,no
SHA-14-007,SHA-14-007,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 7.3 by 10.4,1965,Tunisia,Sharhabil Ahmed his band and some others from al Marjan festival,,yes,no,no
SHA-14-008,SHA-14-008,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8 by 11,1965,Tunisia,Sharhabil Ahmed Kamil Hussain and Hassan Saroji dancing a traditional dance ,,yes,no,no
SHA-15-001,SHA-15-001,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 15.1,2007,"Ethiopia, Addis Ababa",Three people at art exhibition,,yes,no,no
SHA-15-002,SHA-15-002,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9.9 by 14.8,25/10/1991,"Ethiopia, Addis Ababa",Sharhabil Ahmed,,yes,no,no
SHA-15-003,SHA-15-003,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 15.1,1991,"Ethiopia, Addis Ababa",Sharhabil Ahmed and other envoys for concert,,yes,no,no
SHA-15-004,SHA-15-004,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.9 by 18.2,1962,"Khartoum, Airport",Alkir Ahmed al Mustafa Sharhabil Ahmed Hassan Saroji and Ahmed Daoud,,yes,no,no
SHA-15-005,SHA-15-005,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa, Sudanese Ambassador's Residence",Sharhabil Ahmed and others,,yes,no,no
SHA-15-006,SHA-15-006,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Sharhabil Ahmed other Sudanese and Ethiopian musicians and Sudanese diplomats,,yes,no,no
SHA-15-007,SHA-15-007,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.5,1962,"Ethiopia, Addis Ababa",Sharhabil Ahmed Ahmed Mustafa and many other musicians performing in national theater,,yes,no,no
SHA-15-008,SHA-15-008,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.5,1962,"Ethiopia, Addis Ababa",Sharhabil Ahmed and other musicians performing in the national theater,,yes,no,no
SHA-15-009,SHA-15-009,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.2,1991,"Ethiopia, Addis Ababa",Sharhabil Ahmed and other musicians,,yes,no,no
SHA-15-010,SHA-15-010,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.2,1991,"Ethiopia, Addis Ababa",Sharhabil Ahmed and other musicians,,yes,no,no
SHA-15-011,SHA-15-011,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.2,2007,"Ethiopia, Addis Ababa",Sharhabil Ahmed and other musicians,,yes,no,no
SHA-15-012,SHA-15-012,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.1 by 16.4,1962,"Ethiopia, Addis Ababa",Sharhabil Ahmed and others including Abdel Latif Khidir 'Ali Nur al Jalil Tayuba Hassan Saroji and Ahmed Daoud,,yes,no,no
SHA-15-013,SHA-15-013,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.1 by 16.6,1962,"Ethiopia, Addis Ababa",Sharhabil Ahmed his band and employees of the Sudanese embassy,,yes,no,no
SHA-15-014,SHA-15-014,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.1 by 16.6,1962,"Ethiopia, Massawa",Sharhabil Ahmed and group at restaurant,,yes,no,no
SHA-15-015,SHA-15-015,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.1 by 16.4,1962,"Ethiopia, Massawa",Group of visitors among them Sharhabil Ahmed Ahmed al Mustafa and Osman Hussain,,yes,no,no
SHA-15-016,SHA-15-016,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.1 by 16.4,1962,"Ethiopia, Addis Ababa",Sharhabil Ahmed and band in front of crowd in national theater,,yes,no,no
SHA-16-001,SHA-16-001,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1993-1995,"Britain, London",Sharhabil Ahmed in crowd,,yes,no,no
SHA-16-002,SHA-16-002,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1998,France,Sharhabil Ahmed with two others,,yes,no,no
SHA-16-003,SHA-16-003,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 14.6,1998,France,Sharhabil Ahmed playing 'oud,,yes,no,no
SHA-16-004,SHA-16-004,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2003-2005,"Britain, London",Sharhabil Ahmed in front of Buckingham Palace,,yes,no,no
SHA-16-005,SHA-16-005,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2003-2005,"Britain, London",Sharhabil Ahmed in front of Buckingham Palace,,yes,no,no
SHA-16-006,SHA-16-006,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 14.7,2005,"Britain, London",Sharhabil Ahmed with 'oud and two others,,yes,no,no
SHA-16-007,SHA-16-007,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 15.2,1995,"Khartoum, Kafouri French Ambassador's Residence",Sharhabil Ahmed and his band,,yes,no,no
SHA-16-008,SHA-16-008,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 15.2,2009-2011,Omdurman,Sharhabil Ahmed and members of the jazz association,,yes,no,no
SHA-16-009,SHA-16-009,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 15,2005,"Britain, Manchester",Sharhabil Ahmed with an 'oud,,yes,no,no
SHA-16-010,SHA-16-010,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 15,early 2000s ,"Egypt, Cairo",Sharhabil Ahmed with a guitar,,yes,no,no
SHA-16-011,SHA-16-011,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2001,"Egypt, Cairo",Crowd at Sharhabil Ahmed concert,,yes,no,no
SHA-16-012,SHA-16-012,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2001,"Egypt, Cairo",Sharhabil Ahmed and his band,,yes,no,no
SHA-16-013,SHA-16-013,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2001,"Egypt, Cairo",Sharhabil Ahmed with an 'oud and his band,,yes,no,no
SHA-16-014,SHA-16-014,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2004-2005,"Egypt, Cairo",Sharhabil Ahmed with an 'oud,,yes,no,no
SHA-16-015,SHA-16-015,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,early 2000s,"Egypt, Cairo",Sharhabil Ahmed's band,,yes,no,no
SHA-16-016,SHA-16-016,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,early 2000s,"Egypt, Cairo",Sharhabil Ahmed with a guitar,,yes,no,no
SHA-16-017,SHA-16-017,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2002-2004,"Egypt, Cairo",Sharhabil Ahmed with an 'oud,,yes,no,no
SHA-16-018,SHA-16-018,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 15.1,2003-2004,"Egypt, Cairo",Sharhabil Ahmed concert,,yes,no,no
SHA-16-019,SHA-16-019,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2003-2004,"Egypt, Cairo",Sharhabil Ahmed,,yes,no,no
SHA-16-020,SHA-16-020,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000,"Egypt, Cairo",Sharhabil Ahmed with a guitar,,yes,no,no
SHA-16-021,SHA-16-021,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.5 by 17.8,early 2000s,"Egypt, Cairo",Sharhabil Ahmed with a guitar,,yes,no,no
SHA-16-022,SHA-16-022,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 13.9,late 1950s,Khartoum,Sharhabil Ahmed and two others in Ms. Beacon's house,,yes,no,no
SHA-16-023,SHA-16-023,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 13.7,1972,"Egypt, Cairo, Tahrir Square",Sharhabil Ahmed Sayed Ahmed and Afar Katho,,yes,no,no
SHA-16-024,SHA-16-024,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 13.9,1957-1958,"Egypt, Manufiya, Sirs al Layan",Sharhabil Ahmed and al Min'am Najjar and others,,yes,no,no
SHA-16-025,SHA-16-025,en,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9 by 9.6,1957-1959,"Egypt, Manufiya, Sirs al Layan",Sharhabil Ahmed and classmates,,yes,yes,yes
SHA-17-001,SHA-17-001,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 11.9 by 16.8,1964,Kuwait,Abdel Aziz Muhammad Daoud in theater,,yes,no,no
SHA-17-002,SHA-17-002,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 11.9 by 16.8,1964,Kuwait,Two Kuwaiti officials,,yes,no,no
SHA-17-003,SHA-17-003,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,group of men after concert,,yes,no,no
SHA-17-004,SHA-17-004,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,group of men including 'Ala al Din Hamza Muhammad Dafallah and Ahmed Hassan Jum'a,,yes,no,no
SHA-17-005,SHA-17-005,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,Mirghani al Mamoun and Ahmed Hassan Jum'a recording on Radio Kuwait,,yes,yes,yes
SHA-17-006,SHA-17-006,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13.1 by 17.8,1964,Kuwait,Ahmed Hassan Jum'a,,yes,no,no
SHA-17-007,SHA-17-007,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13.1 by 17.8,1964,Kuwait,musician who performed with Ahmed Hassan Jum'a,,yes,no,no
SHA-17-008,SHA-17-008,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,crowd at concert of Mirghani al Mamoun and Ahmed Hassan Jum'a,,yes,no,no
SHA-17-009,SHA-17-009,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,Ahmed al Mustafa with 'oud,,yes,no,no
SHA-17-010,SHA-17-010,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,Abdel Aziz Muhammad Daoud with Kuwaiti singer ,,yes,no,no
SHA-17-011,SHA-17-011,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 11.9 by 16.8,1964,Kuwait,crowd of Kuwaitis,,yes,no,no
SHA-17-012,SHA-17-012,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13.1 by 17.8,1964,Kuwait,Kuwaiti official,,yes,no,no
SHA-17-013,SHA-17-013,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 17.9,1964,Kuwait,Sayed Khalifa on Kuwaiti Radio,,yes,no,no
SHA-17-014,SHA-17-014,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 12 by 16.8,1964,Kuwait,Ahmed al Sharif al Habib commander of Sudanese troops stationed in Kuwait and Kuwaiti officials,,yes,no,no
SHA-17-015,SHA-17-015,en,,Sharhabil Ahmed,Sharhabil Ahmed,Studio Jack Kuwait,photograph 13 by 18.1,1964,Kuwait,Mirghani al Mamoun and Ahmed Hassan Jum'a on Kuwaiti radio,,yes,no,no
